
Task,                       Estimated Hours  Hourly Rate        Est.Cost
                                                US$                US$ 
Core Infrastructure & Setup     240             100               24,000
Backend Development             480             120               57,600
Frontend Development            640             110               70,400
Features                        800             130              104,000
Testing & QA                    320             90                28,800
Documentation & DevOps          160             100               16,000
Design & UX                     240             95                22,800
Project Management              160             105               16,800

Grand Total                     3040                             340,400
